taxon_id,family,genus,species,auth
taxonnode_species_picea_sitchensis_bong carri233re,Pinaceae,Picea,Picea sitchensis,(Bong.) Carri?re
taxonnode_species_picea_glauca_moench voss,Pinaceae,Picea,Picea glauca,(Moench) Voss
taxonnode_species_picea_mariana_mill britton sterns amp poggenb,Pinaceae,Picea,Picea mariana,"(Mill.) Britton, Sterns & Poggenb."
taxonnode_species_larix_laricina_du roi k koch,Pinaceae,Larix,Larix laricina,(Du Roi) K.Koch
taxonnode_species_pinus_banksiana_lamb,Pinaceae,Pinus,Pinus banksiana,Lamb.
taxonnode_genus_picea,Pinaceae,Picea,,
taxonnode_species_pinus_balfouriana_balf,Pinaceae,Pinus,Pinus balfouriana,Balf.
taxonnode_species_abies_lasiocarpa_hook nutt,Pinaceae,Abies,Abies lasiocarpa,(Hook.) Nutt.
taxonnode_species_pinus_sylvestris_l,Pinaceae,Pinus,Pinus sylvestris,L.
taxonnode_species_picea_abies_l h karst,Pinaceae,Picea,Picea abies,(L.) H.Karst.
taxonnode_species_larix_sibirica_ledeb,Pinaceae,Larix,Larix sibirica,Ledeb.
taxonnode_species_larix_gmelinii_rupr kuzen,Pinaceae,Larix,Larix gmelinii,(Rupr.) Kuzen.
taxonnode_species_picea_obovata_ledeb,Pinaceae,Picea,Picea obovata,Ledeb.
taxonnode_species_larix_decidua_mill,Pinaceae,Larix,Larix decidua,Mill.
taxonnode_genus_larix,Pinaceae,Larix,,
taxonnode_species_betula_pubescens_ehrh,Betulaceae,Betula,Betula pubescens,Ehrh.
taxonnode_species_pinus_sibirica_du tour,Pinaceae,Pinus,Pinus sibirica,Du Tour
taxonnode_genus_pinus,Pinaceae,Pinus,,
taxonnode_genus_artemisia,Compositae,Artemisia,,
taxonnode_family_poaceae,Poaceae,,,
taxonnode_species_caltha_palustris_l,Ranunculaceae,Caltha,Caltha palustris,L.
taxonnode_species_koenigia_islandica_l,Polygonaceae,Koenigia,Koenigia islandica,L.
taxonnode_species_betula_nana_l,Betulaceae,Betula,Betula nana,L.
taxonnode_species_oxyria_digyna_l hill,Polygonaceae,Oxyria,Oxyria digyna,(L.) Hill
taxonnode_genus_salix,Salicaceae,Salix,,
taxonnode_species_saxifraga_oppositifolia_l,Saxifragaceae,Saxifraga,Saxifraga oppositifolia,L.
taxonnode_species_juniperus_communis_l,Cupressaceae,Juniperus,Juniperus communis,L.
taxonnode_genus_botrychium,Ophioglossaceae,Botrychium,,
taxonnode_species_thalictrum_alpinum_l,Ranunculaceae,Thalictrum,Thalictrum alpinum,L.
taxonnode_species_dryas_octopetala_l,Rosaceae,Dryas,Dryas octopetala,L.
taxonnode_genus_populus,Salicaceae,Populus,,
taxonnode_species_salix_lanata_l,Salicaceae,Salix,Salix lanata,L.
taxonnode_species_duschekia_fruticosa_rupr,Betulaceae,Betula,Betula fruticosa,Pall.
taxonnode_species_eriophorum _angustifolium_honckeny,Cyperaceae,Eriophorum,Eriophorum angustifolium,Honck.
taxonnode_genus_eriophorum,Cyperaceae,Eriophorum,,
taxonnode_species_carex _maritima_gunnerus,Cyperaceae,Carex,Carex maritima,Gunnerus
taxonnode_species_carex _lachenalii_schkuhr,Cyperaceae,Carex,Carex lachenalii,Schkuhr
taxonnode_species_carex _duriuscula_camey,Cyperaceae,Carex,Carex duriuscula,C.A.Mey.
taxonnode_species_carex_dioica_l,Cyperaceae,Carex,Carex dioica,L.
taxonnode_species_carex_chordorrhiza_ehrh ex lf,Cyperaceae,Carex,Carex chordorrhiza,L.f.
taxonnode_species_carex_nardina_fr,Cyperaceae,Carex,Carex nardina,(Hornem.) Fr.
taxonnode_species_carex _vesicaria_l,Cyperaceae,Carex,Carex vesicaria,L.
taxonnode_species_carex _rostrata_stokes ,Cyperaceae,Carex,Carex rostrata,Stokes
taxonnode_species_carex_podocarpa_rbr,Cyperaceae,Carex,Carex podocarpa,R.Br.
taxonnode_species_carex_microchaeta_bertol ex moris,Cyperaceae,Carex,Carex microchaeta,Holm
taxonnode_species_carex _aquatilis_wahlenberg,Cyperaceae,Carex,Carex aquatilis,Wahlenb.
taxonnode_genus_carex,Cyperaceae,Carex,,
taxonnode_genus_saussurea,Compositae,Saussurea,,
taxonnode_genus_tephroseris,Compositae,Tephroseris,,
taxonnode_genus_arnica,Compositae,Arnica,,
taxonnode_genus_antennaria,Compositae,Antennaria,,
taxonnode_species_artemisia_scoparia_waldst amp kit,Compositae,Artemisia,Artemisia scoparia,Waldst. & Kitam.
taxonnode_species_artemisia_norvegica_fries,Compositae,Artemisia,Artemisia norvegica,Fr.
taxonnode_species_artemisia_gmelinii_weber ex stechm,Compositae,Artemisia,Artemisia gmelinii,Weber ex Stechm.
taxonnode_species_tripleurospermum_maritimum_l wdjkoch,Compositae,Tripleurospermum,Tripleurospermum maritimum,(L.) W.D.J.Koch
taxonnode_species_poa_glauca_vahl,Poaceae,Poa,Poa glauca,Vahl
taxonnode_species_poa_arctica_rbr,Poaceae,Poa,Poa arctica,R.Br.
taxonnode_genus_poa,Poaceae,Poa,,
taxonnode_species_festuca_ovina_l,Poaceae,Festuca,Festuca ovina,L.
taxonnode_species_festuca_kolymensis_drobow,Poaceae,Festuca,Festuca kolymensis,Drobow
taxonnode_species_festuca_altaica_von trinius,Poaceae,Festuca,Festuca altaica,Trin. ex Ledeb.
taxonnode_genus_festuca,Poaceae,Festuca,,
taxonnode_species_puccinellia_tenuiflora_griesb scribn amp merr,Poaceae,Puccinellia,Puccinellia tenuiflora,(Griseb.) Scribn. & Merr.
taxonnode_genus_puccinellia,Poaceae,Puccinellia,,
taxonnode_species_koeleria_asiatica_boissier,Poaceae,Koeleria,Koeleria asiatica,Domin
taxonnode_species_deschampsia _cespitosa_l pbeauv,Poaceae,Deschampsia,Deschampsia cespitosa,(L.) P.Beauv.
taxonnode_species_alopecurus_magellanicus_l,Poaceae,Alopecurus,Alopecurus magellanicus,Lam.
taxonnode_genus_alopecurus,Poaceae,Alopecurus,,
taxonnode_species_calamagrostis_stricta_timm koeler,Poaceae,Calamagrostis,Calamagrostis stricta,(Timm) Koeler
taxonnode_species_dupontia_fisheri_rbr,Poaceae,Dupontia,Dupontia fisheri,R.Br.
taxonnode_species_arctophila _fulva_trin andersson,Poaceae,Arctophila,Arctophila fulva,(Trin.) Andersson
taxonnode_genus_glyceria,Poaceae,Glyceria,,
taxonnode_genus_hordeum,Poaceae,Hordeum,,
taxonnode_genus_elymus,Poaceae,Elymus,,
taxonnode_genus_bromus,Poaceae,Bromus,,
taxonnode_genus_corylus,Betulaceae,Corylus,,
taxonnode_species_calluna_vulgaris_l hull,Ericaceae,Calluna,Calluna vulgaris,(L.) Hull
taxonnode_family_lentibulariaceae,Lentibulariaceae,,,
taxonnode_genus_fagus,Fagaceae,Fagus,,
taxonnode_genus_armeria,Plumbaginaceae,Armeria,,
taxonnode_genus_huperzia,Lycopodiaceae,Huperzia,,
taxonnode_genus_hymenophyllum,Hymenophyllaceae,Hymenophyllum,,
taxonnode_genus_cystopteris,Cystopteridaceae,Cystopteris,,
taxonnode_family_crassulaceae,Crassulaceae,,,
taxonnode_species_sphagnum_squarrosum_crome,Sphagnaceae,Sphagnum,Sphagnum squarrosum,Crome
taxonnode_species_sphagnum_warnstorfii_russow,Sphagnaceae,Sphagnum,Sphagnum warnstorfii,Russow
taxonnode_species_sphagnum_subsecundum_nees,Sphagnaceae,Sphagnum,Sphagnum subsecundum,Nees
taxonnode_species_sphagnum_teres_schimp 197ngstr246m,Sphagnaceae,Sphagnum,Sphagnum teres,(Schimp.) ?ngstr?m
taxonnode_genus_sphagnum,Sphagnaceae,Sphagnum,,
taxonnode_genus_dicranum,Dicranaceae,Dicranum,,
taxonnode_species_scorpidium_scorpioides_hedw limpr,Amblystegiaceae,Scorpidium,Scorpidium scorpioides,(Hedw.) Limpr.
taxonnode_species_paludella_squarrosa_hedw brid,Meesiaceae,Paludella,Paludella squarrosa,(Hedw.) Brid.
taxonnode_genus_pohlia,Bryaceae,Pohlia,,
taxonnode_species_hylocomium_splendens_hedw schimp,Hylocomiaceae,Hylocomium,Hylocomium splendens,(Hedw.) Schimp.
taxonnode_species_calliergon_stramineum_dicks ex brid kindb,Amblystegiaceae,Calliergon,Calliergon stramineum,(Dicks. ex Brid.) Kindb.
taxonnode_genus_drepanocladus,Amblystegiaceae,Drepanocladus,,
taxonnode_species_carex_aquatilis_wahlenb,Cyperaceae,Carex,Carex aquatilis,Wahlenb.
taxonnode_genus_luzula,Juncaceae,Luzula,,
taxonnode_species_menyanthes_trifoliata_l,Menyanthaceae,Menyanthes,Menyanthes trifoliata,L.
taxonnode_genus_viola,Violaceae,Viola,,
taxonnode_species_empetrum_nigrum_l,Ericaceae,Empetrum,Empetrum nigrum,L.
taxonnode_species_betula_glandulosa_michx,Betulaceae,Betula,Betula glandulosa,Michx.
taxonnode_species_comarum_palustre_l,Rosaceae,Comarum,Comarum palustre,L.
taxonnode_genus_polytrichum,Polytrichaceae,Polytrichum,,
taxonnode_species_tomentypnum_nitens_hedw loeske,Brachytheciaceae,Tomentypnum,Tomentypnum nitens,(Hedw.) Loeske
taxonnode_species_selaginella_selaginoides_l p beauv ex mart schrank,Selaginellaceae,Selaginella,Selaginella selaginoides,(L.) P. Beauv. ex Mart. & Schrank
taxonnode_species_myrica_gale_l,Myricaceae,Myrica,Myrica gale,L.
taxonnode_species_cassiope_tetragona_l ddon,Ericaceae,Cassiope,Cassiope tetragona,(L.) D.Don
taxonnode_species_salix_arctica_pall,Salicaceae,Salix,Salix arctica,Pall.
taxonnode_genus_equisetum,Equisetaceae,Equisetum,,
taxonnode_species_lycopodium_annotinum_l,Lycopodiaceae,Lycopodium,Lycopodium annotinum,L.
taxonnode_genus_potentilla,Rosaceae,Potentilla,,
taxonnode_species_plantago_maritima_l,Plantaginaceae,Plantago,Plantago maritima,L.
taxonnode_genus_galium,Rubiaceae,Galium,,
taxonnode_species_ranunculus_acris_l,Ranunculaceae,Ranunculus,Ranunculus acris,L.
taxonnode_species_rumex_acetosa_l,Polygonaceae,Rumex,Rumex acetosa,L.
taxonnode_genus_achillea,Compositae,Achillea,,
taxonnode_family_brassicaceae,Brassicaceae,,,
taxonnode_genus_rumex,Polygonaceae,Rumex,,
taxonnode_genus_oxyria,Polygonaceae,Oxyria,,
taxonnode_family_caryophyllaceae,Caryophyllaceae,,,
taxonnode_family_compositae,Compositae,,,
taxonnode_family_cyperaceae,Cyperaceae,,,
taxonnode_genus_angelica,Apiaceae,Angelica,,
taxonnode_species_filipendula_ulmaria_l maxim,Rosaceae,Filipendula,Filipendula ulmaria,(L.) Maxim.
taxonnode_genus_erica,Ericaceae,Erica,,
taxonnode_genus_betula,Betulaceae,Betula,,
taxonnode_species_thymus_praecox_opiz,Lamiaceae,Thymus,Thymus praecox,Opiz
taxonnode_species_parnassia_palustris_l,Celastraceae,Parnassia,Parnassia palustris,L.
taxonnode_species_capsella_bursa-pastoris_l medik,Brassicaceae,Capsella,Capsella bursa-pastoris,(L.) Medik.
taxonnode_genus_cerastium,Caryophyllaceae,Cerastium,,
taxonnode_genus_rhinanthus,Orobanchaceae,Rhinanthus,,
taxonnode_genus_polygonum,Polygonaceae,Polygonum,,
taxonnode_family_rosaceae,Rosaceae,,,
taxonnode_species_rumex_longifolius_dc,Polygonaceae,Rumex,Rumex longifolius,DC.
taxonnode_species_rumex_acetosella_l,Polygonaceae,Rumex,Rumex acetosella,L.
taxonnode_genus_sagina,Caryophyllaceae,Sagina,,
taxonnode_genus_potamogeton,Potamogetonaceae,Potamogeton,,
taxonnode_genus_elodea,Hydrocharitaceae,Elodea,,
taxonnode_genus_myriophyllum,Haloragaceae,Myriophyllum,,
taxonnode_species_larix_cajanderi_mayr,Pinaceae,Larix,Larix gmelinii,(Rupr.) Kuzen.
taxonnode_genus_lycopodium,Lycopodiaceae,Lycopodium,,
taxonnode_family_apiaceae,Apiaceae,,,
taxonnode_genus_plantago,Plantaginaceae,Plantago,,
taxonnode_genus_ranunculus,Ranunculaceae,Ranunculus,,
taxonnode_genus_chenopodium,Amaranthaceae,Chenopodium,,
taxonnode_genus_kobresia,Cyperaceae,Kobresia,,
taxonnode_species_hierochloe_odorata_l pbeauv,Poaceae,Hierochloe,Hierochloe odorata,(L.) P.Beauv.
taxonnode_species_hierochloe_pauciflora_rbr,Poaceae,Hierochloe,Hierochloe pauciflora,R.Br.
taxonnode_species_rhytidium_rugosum_ehrh ex hedw kindb,Hylocomiaceae,Rhytidium,Rhytidium rugosum,(Ehrh. ex Hedw.) Kindb.
taxonnode_genus_sanguisorba,Rosaceae,Sanguisorba,,
taxonnode_family_ericaceae,Ericaceae,,,
taxonnode_genus_alnus,Betulaceae,Alnus,,
taxonnode_species_betula_ermanii_cham,Betulaceae,Betula,Betula ermanii,Cham.
taxonnode_species_lycopodium_clavatum_l,Lycopodiaceae,Lycopodium,Lycopodium clavatum,L.
taxonnode_genus_fritillaria,Liliaceae,Fritillaria,,
taxonnode_genus_frangula,Rhamnaceae,Frangula,,
taxonnode_genus_cornus,Cornaceae,Cornus,,
taxonnode_genus_claytonia,Montiaceae,Claytonia,,
taxonnode_family_boraginaceae,Boraginaceae,,,
taxonnode_genus_typha,Typhaceae,Typha,,
taxonnode_family_gentianaceae,Gentianaceae,,,
taxonnode_genus_gentiana,Gentianaceae,Gentiana,,
taxonnode_genus_montia,Montiaceae,Montia,,
taxonnode_genus_geranium,Geraniaceae,Geranium,,
taxonnode_family_geraniaceae,Geraniaceae,,,
taxonnode_family_liliaceae,Liliaceae,,,
taxonnode_family_ophioglossaceae,Ophioglossaceae,,,
taxonnode_family_polypodiaceae,Polypodiaceae,,,
taxonnode_genus_epilobium,Onagraceae,Epilobium,,
taxonnode_family_scrophulariaceae,Scrophulariaceae,,,
taxonnode_family_saxifragaceae,Saxifragaceae,,,
taxonnode_genus_saxifraga,Saxifragaceae,Saxifraga,,
taxonnode_family_ranunculaceae,Ranunculaceae,,,
taxonnode_family_polygonaceae,Polygonaceae,,,
taxonnode_family_lamiaceae,Lamiaceae,,,
taxonnode_family_amaranthaceae,Amaranthaceae,,,
taxonnode_species_calliergon _giganteum_schimp kindb,Amblystegiaceae,Calliergon,Calliergon giganteum,(Schimp.) Kindb.
taxonnode_species_meesia_uliginosa_hedwig,Meesiaceae,Meesia,Meesia uliginosa,Hedw.
taxonnode_species_persicaria_maculosa_gray,Polygonaceae,Persicaria,Persicaria maculosa,Gray
taxonnode_genus_hypnum,Hypnaceae,Hypnum,,
taxonnode_species_montia_fontana_l,Montiaceae,Montia,Montia fontana,L.
taxonnode_species_stellaria_media_l vill,Caryophyllaceae,Stellaria,Stellaria media,(L.) Vill.
taxonnode_species_poa_pratensis_l,Poaceae,Poa,Poa pratensis,L.
taxonnode_species_larix_gmelinii_rupr rupr,Pinaceae,Larix,Larix gmelinii,(Rupr.) Kuzen.
taxonnode_species_salix_alaxensis_andersson coville,Salicaceae,Salix,Salix alaxensis,(Andersson) Coville
taxonnode_genus_juniperus,Cupressaceae,Juniperus,,
taxonnode_genus_abies,Pinaceae,Abies,,
taxonnode_species_pinus_strobus_l,Pinaceae,Pinus,Pinus strobus,L.
taxonnode_genus_quercus,Fagaceae,Quercus,,
taxonnode_genus_vaccinium,Ericaceae,Vaccinium,,
taxonnode_genus_malus,Rosaceae,Malus,,
taxonnode_genus_tsuga,Pinaceae,Tsuga,,
taxonnode_genus_thalictrum,Ranunculaceae,Thalictrum,,
taxonnode_genus_dryas,Rosaceae,Dryas,,
taxonnode_genus_aconitum,Ranunculaceae,Aconitum,,
taxonnode_genus_encalypta,Encalyptaceae,Encalypta,,
taxonnode_genus_triticum,Poaceae,Triticum,,
taxonnode_genus_secale,Poaceae,Secale,,
taxonnode_species_secale _cereale_l,Poaceae,Secale,Secale cereale,L.
taxonnode_genus_campanula,Campanulaceae,Campanula,,
taxonnode_species_eleocharis_palustris_l roem amp schult,Cyperaceae,Eleocharis,Eleocharis palustris,(L.) Roem. & Schult.
taxonnode_species_isoetes_lacustris_l,Iso?taceae,Isoetes,Isoetes lacustris,L.
taxonnode_species_isoetes_echinospora_durieu,Iso?taceae,Isoetes,Isoetes echinospora,Durieu
taxonnode_species_urtica_dioica_l,Urticaceae,Urtica,Urtica dioica,L.
taxonnode_genus_tilia,Malvaceae,Tilia,,
taxonnode_genus_sorbus,Rosaceae,Sorbus,,
taxonnode_species_saxifraga_stellaris_l,Saxifragaceae,Saxifraga,Saxifraga stellaris,L.
taxonnode_species_saxifraga_rivularis_l,Saxifragaceae,Saxifraga,Saxifraga rivularis,L.
taxonnode_species_saxifraga_nivalis_l,Saxifragaceae,Saxifraga,Saxifraga nivalis,L.
taxonnode_genus_ptilidium,Ptilidiaceae,Ptilidium,,
taxonnode_genus_pinguicula,Lentibulariaceae,Pinguicula,,
taxonnode_genus_narthecium,Nartheciaceae,Narthecium,,
taxonnode_genus_myrica,Myricaceae,Myrica,,
taxonnode_genus_littorella,Plantaginaceae,Littorella,,
taxonnode_genus_koenigia,Polygonaceae,Koenigia,,
taxonnode_genus_hypericum,Hypericaceae,Hypericum,,
taxonnode_genus_geum,Rosaceae,Geum,,
taxonnode_genus_fraxinus,Oleaceae,Fraxinus,,
taxonnode_genus_atriplex,Amaranthaceae,Atriplex,,
taxonnode_genus_ambrosia,Compositae,Ambrosia,,
taxonnode_genus_alchemilla,Rosaceae,Alchemilla,,
taxonnode_genus_acer,Sapindaceae,Acer,,
taxonnode_genus_menyanthes,Menyanthaceae,Menyanthes,,
taxonnode_species_myriophyllum_alterniflorum_dc,Haloragaceae,Myriophyllum,Myriophyllum alterniflorum,DC.
taxonnode_species_lycopodium_alpinum_l,Lycopodiaceae,Lycopodium,Lycopodium alpinum,L.
taxonnode_genus_selaginella,Selaginellaceae,Selaginella,,
taxonnode_genus_polypodium,Polypodiaceae,Polypodium,,
taxonnode_genus_pteridium,Dennstaedtiaceae,Pteridium,,
taxonnode_genus_dryopteris,Dryopteridaceae,Dryopteris,,
taxonnode_species_plantago_lanceolata_l,Plantaginaceae,Plantago,Plantago lanceolata,L.
taxonnode_genus_succisa,Caprifoliaceae,Succisa,,
taxonnode_genus_filipendula,Rosaceae,Filipendula,,
taxonnode_genus_caltha,Ranunculaceae,Caltha,,
taxonnode_species_fir clubmoss_selago_l,Lycopodiaceae,Huperzia,Huperzia selago,(L.) Bernh. ex Schrank & Mart.
taxonnode_genus_sedum,Crassulaceae,Sedum,,
taxonnode_genus_calluna,Ericaceae,Calluna,,
taxonnode_genus_empetrum,Ericaceae,Empetrum,,
taxonnode_genus_ulmus,Ulmaceae,Ulmus,,
taxonnode_species_abies_balsamea_l mill,Pinaceae,Abies,Abies balsamea,(L.) Mill.
taxonnode_species_betula_pendula_roth,Betulaceae,Betula,Betula pendula,Roth
taxonnode_species_vaccinium_myrtillus_l,Ericaceae,Vaccinium,Vaccinium myrtillus,L.
taxonnode_species_vaccinium_uliginosum_l,Ericaceae,Vaccinium,Vaccinium uliginosum,L.
taxonnode_species_diapensia_lapponica_l,Diapensiaceae,Diapensia,Diapensia lapponica,L.
taxonnode_species_armeria_maritima_mill willd,Plumbaginaceae,Armeria,Armeria maritima,(Mill.) Willd.
taxonnode_species_rumex_crispus_l,Polygonaceae,Rumex,Rumex crispus,L.
taxonnode_genus_sempervivum,Crassulaceae,Sempervivum,,
taxonnode_genus_sibbaldia,Rosaceae,Sibbaldia,,
taxonnode_genus_fragaria,Rosaceae,Fragaria,,
taxonnode_species_actaea_spicata_l,Ranunculaceae,Actaea,Actaea spicata,L.
taxonnode_species_myosurus_minimus_l,Ranunculaceae,Myosurus,Myosurus minimus,L.
taxonnode_species_eranthis_hyemalis_l salisb,Ranunculaceae,Eranthis,Eranthis hyemalis,(L.) Salisb.
taxonnode_species_anemone_pulsatilla_l,Ranunculaceae,Anemone,Anemone pulsatilla,L.
taxonnode_genus_diphasiastrum,Lycopodiaceae,Diphasiastrum,,
taxonnode_genus_gymnocarpium,Cystopteridaceae,Gymnocarpium,,
taxonnode_genus_lysimachia,Primulaceae,Lysimachia,,
taxonnode_species_rubus _saxatilis_l,Rosaceae,Rubus,Rubus saxatilis,L.
taxonnode_species_saxifraga _aizoides_l,Saxifragaceae,Saxifraga,Saxifraga aizoides,L.
taxonnode_genus_valeriana,Caprifoliaceae,Valeriana,,
taxonnode_genus_trollius,Ranunculaceae,Trollius,,
taxonnode_genus_stellaria,Caryophyllaceae,Stellaria,,
taxonnode_genus_prunus,Rosaceae,Prunus,,
taxonnode_genus_scorpidium,Amblystegiaceae,Scorpidium,,
taxonnode_genus_tofieldia,Tofieldiaceae,Tofieldia,,
taxonnode_genus_cirsium,Compositae,Cirsium,,
taxonnode_genus_drosera,Droseraceae,Drosera,,
taxonnode_genus_parnassia,Celastraceae,Parnassia,,
taxonnode_genus_melampyrum,Orobanchaceae,Melampyrum,,
taxonnode_genus_solidago,Compositae,Solidago,,
taxonnode_genus_taraxacum,Compositae,Taraxacum,,
taxonnode_genus_linnaea,Caprifoliaceae,Linnaea,,
taxonnode_genus_humulus,Cannabaceae,Humulus,,
taxonnode_genus_lamium,Lamiaceae,Lamium,,
taxonnode_family_myricaceae,Myricaceae,,,
taxonnode_genus_clematis,Ranunculaceae,Clematis,,
taxonnode_family_amblystegiaceae,Amblystegiaceae,,,
taxonnode_species_eriophorum_vaginatum_l,Cyperaceae,Eriophorum,Eriophorum vaginatum,L.
taxonnode_species_lysimachia _maritima_l galasso banfi amp soldano,Primulaceae,Lysimachia,Lysimachia maritima,"(L.) Galasso, Banfi & Soldano"
taxonnode_species_cornus_suecica_l,Cornaceae,Cornus,Cornus suecica,L.
taxonnode_species_rubus_idaeus_l,Rosaceae,Rubus,Rubus idaeus,L.
taxonnode_family_onagraceae,Onagraceae,,,
taxonnode_genus_urtica,Urticaceae,Urtica,,
taxonnode_genus_capsella,Brassicaceae,Capsella,,
taxonnode_genus_rhamnus,Rhamnaceae,Rhamnus,,
taxonnode_species_trichophorum_cespitosum_l hartm,Cyperaceae,Trichophorum,Trichophorum cespitosum,(L.) Hartm.
taxonnode_genus_cryptogramma,Pteridaceae,Cryptogramma,,
taxonnode_genus_draba,Brassicaceae,Draba,,
taxonnode_species_silene_acaulis_l jacq,Caryophyllaceae,Silene,Silene acaulis,(L.) Jacq.
taxonnode_genus_silene,Caryophyllaceae,Silene,,
taxonnode_species_plantago _major_l,Plantaginaceae,Plantago,Plantago major,L.
taxonnode_species_sphagnum_fuscum_schimp h klinggr,Sphagnaceae,Sphagnum,Sphagnum fuscum,(Schimp.) H. Klinggr.
taxonnode_species_racomitrium_lanuginosum_hedw brid,Grimmiaceae,Racomitrium,Racomitrium lanuginosum,(Hedw.) Brid.
taxonnode_genus_veronica,Plantaginaceae,Veronica,,
taxonnode_genus_trifolium,Leguminosae,Trifolium,,
taxonnode_genus_juncus,Juncaceae,Juncus,,
taxonnode_species_vaccinium _uliginosum_l,Ericaceae,Vaccinium,Vaccinium uliginosum,L.
taxonnode_species_empetrum_eamesii_fernald amp wiegand,Ericaceae,Empetrum,Empetrum eamesii,Fernald & Wiegand
taxonnode_species_stellaria_graminea_l,Caryophyllaceae,Stellaria,Stellaria graminea,L.
taxonnode_genus_eleocharis,Cyperaceae,Eleocharis,,
taxonnode_genus_thymus,Lamiaceae,Thymus,,
taxonnode_species_hippuris_vulgaris_l,Plantaginaceae,Hippuris,Hippuris vulgaris,L.
